fold_nb,order,train,test
0,0,-8.885892022192365e-11,-0.00018334401361763675
0,1,0.8061073706703747,0.7957989875692771
0,2,0.893765136998105,0.873621433769981
0,3,0.9143074616242511,0.881717238749627
0,4,0.9288651812226957,0.8653604324189793
0,5,0.9478646637744552,0.8189887596430038
1,0,-9.140332934975959e-11,-0.0008880705913463238
1,1,0.8027556284913223,0.8235542768616921
1,2,0.8896487078548023,0.9095192144250167
1,3,0.9111009995698748,0.9141594830445746
1,4,0.9264472240695961,0.9003306598226529
1,5,0.9462741348581586,0.8655902279747699
2,0,-9.005374224102525e-11,-0.0030658237328375915
2,1,0.8077344689679273,0.7800844172323751
2,2,0.8930959369311272,0.8799124986598708
2,3,0.9133334723444272,0.8932991637179528
2,4,0.9279426138430283,0.8826574511217671
2,5,0.9474565594509669,0.8412326443031984
3,0,-8.972134146745248e-11,-2.6665160143712896e-05
3,1,0.8059454257324238,0.7980900683474408
3,2,0.8928751509461826,0.8826582788314087
3,3,0.9135846841798102,0.8898942161688279
3,4,0.9280525058471705,0.8775067343638646
3,5,0.9472454425957103,0.8402469670060733
4,0,-9.017875335359804e-11,-0.0007004852118475124
4,1,0.8037688463903199,0.818221695975027
4,2,0.8927659436676827,0.8832876422996748
4,3,0.9139237994125278,0.8871447854637472
4,4,0.9290378784280082,0.867827133070999
4,5,0.9488647145683514,0.8109309790723408
5,0,-8.882850011104892e-11,-0.005087247685637841
5,1,0.8065053216734172,0.7915498108657834
5,2,0.893819190061473,0.8717212713435745
5,3,0.9140138024663215,0.8863213652556593
5,4,0.9284235120470009,0.874721185263243
5,5,0.9487666216707266,0.8045538009955233
6,0,-9.063372274908943e-11,-0.0013378738947893432
6,1,0.8031378045377396,0.8227961335854422
6,2,0.891331760475192,0.89725513122442
6,3,0.9114993569619114,0.9126781442228522
6,4,0.9266287570088605,0.8978470726730493
6,5,0.9469608193724118,0.8489201802045812
7,0,-9.112821608425747e-11,-0.0007161220742204488
7,1,0.804606390857828,0.8097893846910371
7,2,0.8911066073850537,0.8981670554591996
7,3,0.9118074863195373,0.9087140862606795
7,4,0.9273524431028615,0.8902580761366771
7,5,0.9471678778582436,0.8546682460427935
8,0,-9.004996748274152e-11,-0.001975947709411674
8,1,0.8072273589816087,0.7872093298359557
8,2,0.8920678074967487,0.8900715755590742
8,3,0.912012732732162,0.9061160528540633
8,4,0.9271177388669138,0.8915300869690346
8,5,0.9474187688833631,0.8333302575551713
9,0,-8.978129351078223e-11,-0.0031263319636305464
9,1,0.8053202873676446,0.803317662174597
9,2,0.8927856701943271,0.8834513650366913
9,3,0.9136505729612846,0.8895714972367975
9,4,0.9285687009115545,0.8736620347278176
9,5,0.9474479666260373,0.8370969721904566
