fold_nb,order,train,test
0,0,-5.214761955585345e-11,-0.0010183194283652774
0,1,0.8483397420665548,0.8489751900999362
0,2,0.9213333421493065,0.910864421203131
0,3,0.941193960495323,0.9221313032411101
0,4,0.9538067214754489,0.9231522522603235
0,5,0.9666850026834031,0.8944093302965879
1,0,-5.175659900658047e-11,-0.0008215248549416909
1,1,0.8496011377142222,0.8369478854767448
1,2,0.9209299456837038,0.9142863860646119
1,3,0.940801797007963,0.9251252016937251
1,4,0.9539349392113807,0.9199364500183504
1,5,0.9667171593905304,0.8933770991051624
2,0,-5.182920759239096e-11,-0.00216077373391399
2,1,0.8486806407227127,0.8461523636290533
2,2,0.9208966893562522,0.9145344279527338
2,3,0.9413120472497827,0.9189263274278066
2,4,0.9545211189899256,0.9141036756188207
2,5,0.9676606724365727,0.8847577216076012
3,0,-5.215450293860613e-11,-0.0004251480009229702
3,1,0.8478654926912054,0.85353209745124
3,2,0.9199345287691038,0.9227163564045571
3,3,0.9394535519902238,0.9373988197610599
3,4,0.9530466283329054,0.9308361891754056
3,5,0.9666619091178379,0.9027528632056092
4,0,-5.2190030075394134e-11,-0.0009361774667415723
4,1,0.8468043761207174,0.8630030383854649
4,2,0.9197119149135766,0.9251167854971832
4,3,0.9404044969096966,0.9284241926556898
4,4,0.9535177301695418,0.9257289009410038
4,5,0.9662886035052496,0.9014897932632009
5,0,-5.2437165720675694e-11,-0.03309989236535005
5,1,0.8509314232780596,0.8192479317077035
5,2,0.9209087154647339,0.9116477287304179
5,3,0.9406929574533656,0.9243392235426694
5,4,0.9543619441822455,0.9139507249490765
5,5,0.9675133670478596,0.8804924087779805
6,0,-5.182143603121858e-11,-0.005502144595784353
6,1,0.847870224240185,0.8531381219985453
6,2,0.9205875833695804,0.916920213031752
6,3,0.9404523876221322,0.9273673623988931
6,4,0.9539016404028924,0.9189049553045548
6,5,0.9666110075412977,0.8949177504513648
7,0,-5.2047477439032264e-11,-0.009676261169548006
7,1,0.8456352453900049,0.8708873026321213
7,2,0.9184260871382917,0.9355498358265126
7,3,0.938685126450741,0.9451243598917946
7,4,0.9526143747840663,0.9356504809922848
7,5,0.9663009688649924,0.9054768670207067
8,0,-5.1907589337929494e-11,-0.007570813965446677
8,1,0.8500047713763224,0.8340399011227992
8,2,0.921722794507507,0.9062888004644754
8,3,0.9404771093717051,0.9275019094747525
8,4,0.9536848203033613,0.9242614455997442
8,5,0.9667839613978362,0.8944656524649562
9,0,-5.210942788380635e-11,-0.00027942189964047515
9,1,0.8498887624044213,0.8359021223006293
9,2,0.9216334443507319,0.9089915028614208
9,3,0.9406326586456477,0.9287936565768371
9,4,0.9536836479541337,0.927258539041036
9,5,0.9662254722265248,0.9077797348075635
