"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,20.04,7.64332047506351,"A"
200,20.52,7.64328997397317,"A"
200,21.01,7.6432528101444,"A"
200,21.54,7.64320441444073,"A"
200,22.02,7.64315180077035,"A"
200,22.56,7.64308062306887,"A"
200,23.02,7.64300807312098,"A"
200,23.59,7.64289988267993,"A"
200,24.03,7.64279992524179,"A"
200,24.55,7.64265972286611,"A"
200,25.07,7.64249111347849,"A"
200,25.56,7.64230120247029,"A"
200,26.02,7.64209046505943,"A"
200,26.57,7.64178946296405,"A"
200,27.09,7.64144634026989,"A"
200,27.53,7.64110323276488,"A"
200,28.02,7.64065400142685,"A"
200,28.55,7.64007408235742,"A"
200,29.06,7.63940639329961,"A"
200,29.55,7.6386445756058,"A"
200,30.01,7.6378030444198,"A"
200,30.56,7.63660689268106,"A"
200,31.02,7.63541934888169,"A"
200,31.54,7.63383374784079,"A"
200,32.03,7.63206182400471,"A"
200,32.55,7.62983258368393,"A"
200,33.02,7.62745430192354,"A"
200,33.53,7.62441393447464,"A"
200,34.02,7.6209641196035,"A"
200,34.53,7.61672573087339,"A"
200,35.08,7.6112799618995,"A"
200,35.56,7.60565263410332,"A"
200,36.03,7.59921638923367,"A"
200,36.55,7.59084800044535,"A"
200,37.03,7.58176611330069,"A"
200,37.55,7.57020469395094,"A"
200,38.01,7.55824058089302,"A"
200,38.55,7.54176442783936,"A"
200,39.01,7.52532712727001,"A"
200,39.54,7.50319355625351,"A"
200,40.03,7.47920542476303,"A"
200,40.55,7.44944226707543,"A"
200,41.01,7.41885530847318,"A"
200,41.52,7.37956395825674,"A"
200,42.04,7.33281456429149,"A"
200,42.55,7.27942568157188,"A"
200,43.03,7.22139165843741,"A"
200,43.54,7.15033476294112,"A"
200,44.1,7.0596573952158,"A"
200,44.52,6.98189152842844,"A"
200,45.05,6.87042424542086,"A"
200,45.54,6.7527615602983,"A"
200,46.09,6.60224254633026,"A"
200,46.52,6.46980311259678,"A"
200,47.08,6.27639532506421,"A"
200,47.51,6.1108739081415,"A"
200,48.04,5.88556457940975,"A"
200,48.57,5.63608030430828,"A"
200,49.07,5.37837470356105,"A"
200,49.51,5.13392609904433,"A"
200,50.03,4.82460440012307,"A"
200,50.55,4.4948059092173,"A"
200,51.03,4.17432613857435,"A"
200,51.53,3.82686228438075,"A"
200,52.01,3.48328164540914,"A"
200,52.59,3.05987695830222,"A"
200,53.06,2.71424724624885,"A"
200,53.53,2.3700791391357,"A"
200,54.04,2.0021991107411,"A"
200,54.59,1.61647718339758,"A"
200,55.02,1.32569643015372,"A"
200,55.53,0.995790224244759,"A"
200,56.05,0.678473703175974,"A"
200,56.54,0.398701476779572,"A"
200,57.02,0.143671286030719,"A"
200,57.56,-0.120239361063732,"A"
200,58.05,-0.338700433952615,"A"
200,58.54,-0.537626862557412,"A"
200,58.99,-0.703746423608734,"A"
200,59.55,-0.889488462040849,"A"
200,60.01,-1.02575362858993,"A"
200,60.53,-1.16343345312539,"A"
200,61.02,-1.27858119465522,"A"
200,61.54,-1.38672936381018,"A"
200,62.07,-1.48355860822635,"A"
200,62.55,-1.56081095954129,"A"
