"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,19.99,5.85268971773176,"A"
200,20.47,5.85244805919037,"A"
200,20.91,5.85219634378746,"A"
200,21.51,5.85179969251128,"A"
200,22.12,5.85132313074054,"A"
200,22.51,5.85097378190789,"A"
200,23.06,5.8504131453587,"A"
200,23.54,5.84985011575827,"A"
200,24.04,5.84917995269196,"A"
200,24.55,5.84839607264801,"A"
200,25.05,5.84751527187488,"A"
200,25.37,5.8468860430973,"A"
200,25.95,5.84559828103961,"A"
200,26.59,5.84392524403525,"A"
200,27.05,5.84253393207563,"A"
200,27.53,5.84088931504439,"A"
200,28.05,5.83885576631439,"A"
200,28.54,5.83666729467715,"A"
200,29.06,5.83401580663426,"A"
200,29.54,5.83122718153872,"A"
200,30.05,5.82785684326092,"A"
200,30.53,5.82425104139692,"A"
200,31.04,5.81989766706725,"A"
200,31.51,5.81534804096888,"A"
200,32.04,5.80951681879888,"A"
200,32.51,5.80364468149372,"A"
200,33.03,5.79627875515802,"A"
200,33.55,5.78788104928066,"A"
200,34.05,5.7787052098993,"A"
200,34.51,5.76919072419616,"A"
200,35.04,5.75679431860281,"A"
200,35.57,5.74266793098623,"A"
200,36.04,5.72851120248055,"A"
200,36.55,5.71120384130632,"A"
200,37.06,5.69162863590184,"A"
200,37.53,5.67134371878425,"A"
200,38.08,5.64454426808956,"A"
200,38.54,5.61930647989414,"A"
200,39.01,5.59056744279713,"A"
200,39.51,5.55637201601565,"A"
200,40.03,5.5164207814762,"A"
200,40.55,5.47150931894241,"A"
200,41.04,5.42417450816724,"A"
200,41.53,5.37149186382046,"A"
200,42.04,5.31044052251349,"A"
200,42.54,5.24386583875143,"A"
200,43.06,5.16694359318561,"A"
200,43.54,5.08841464743377,"A"
200,44.01,5.00399884200255,"A"
200,44.55,4.89717763809838,"A"
200,45.03,4.79283808069309,"A"
200,45.57,4.66427407650516,"A"
200,46.02,4.54766461830711,"A"
200,46.51,4.41051321115303,"A"
200,47.07,4.24039309445185,"A"
200,47.55,4.0830036421517,"A"
200,48,3.92568546571973,"A"
200,48.49,3.74370461293233,"A"
200,49.06,3.51831521510483,"A"
200,49.52,3.32610742537736,"A"
200,50.03,3.10289654261007,"A"
200,50.51,2.88388839229785,"A"
200,51.06,2.62352444117862,"A"
200,51.52,2.39918602150798,"A"
200,52.03,2.14486363859657,"A"
200,52.53,1.8913341433634,"A"
200,53.04,1.6301614907339,"A"
200,53.53,1.37843885525135,"A"
200,54.03,1.12246146974883,"A"
200,54.53,0.869029734142146,"A"
200,55.04,0.614799172834085,"A"
200,55.55,0.366432499919276,"A"
200,56.02,0.143950513378054,"A"
200,56.58,-0.111752554782068,"A"
200,57.03,-0.308972837681233,"A"
200,57.56,-0.531004501679939,"A"
200,58.03,-0.718109665705213,"A"
200,58.58,-0.924938017384445,"A"
200,59.02,-1.08081637973122,"A"
200,59.62,-1.27960323610368,"A"
200,60,-1.39735672398195,"A"
200,60.55,-1.55684119689092,"A"
200,61.01,-1.6805699914309,"A"
200,61.61,-1.82930141137761,"A"
200,62.05,-1.92970898968781,"A"
200,62.61,-2.04753799310007,"A"
200,63.03,-2.12903142947165,"A"
200,63.57,-2.22576862694563,"A"
200,64.05,-2.30473502945089,"A"
200,64.57,-2.38348063827725,"A"
200,65.04,-2.44913278089723,"A"
200,65.54,-2.51381661868879,"A"
200,66.04,-2.5737890874545,"A"
200,66.56,-2.63183001767866,"A"
200,67.02,-2.68004945436089,"A"
200,67.55,-2.73263971368668,"A"
200,68.03,-2.77814377391647,"A"
200,68.55,-2.82587248256466,"A"
200,69.02,-2.86824964176357,"A"
200,69.62,-2.92231050522226,"A"
200,70.05,-2.9617355408529,"A"
200,70.56,-3.01008396183587,"A"
200,71.04,-3.05801216339839,"A"
200,71.54,-3.11144182132178,"A"
200,72,-3.16471776397492,"A"
200,72.52,-3.2309549747156,"A"
200,73.04,-3.30506241809275,"A"
200,73.56,-3.3887416855266,"A"
200,74.01,-3.47031111298142,"A"
200,74.55,-3.58131787325887,"A"
200,75.02,-3.69132612633285,"A"
200,75.61,-3.84966919727099,"A"
200,76.01,-3.97135919022395,"A"
200,76.52,-4.14509216126649,"A"
200,77.1,-4.3701673366377,"A"
200,77.52,-4.55266426231327,"A"
200,78.04,-4.80235336304388,"A"
200,78.53,-5.06211193776036,"A"
200,79.03,-5.35141590908606,"A"
200,79.55,-5.67709625284575,"A"
200,80.13,-6.06736208370398,"A"
200,80.51,-6.3363176038778,"A"
200,81.12,-6.78501647961891,"A"
200,81.53,-7.09467764526889,"A"
200,82.11,-7.53745674219594,"A"
200,82.53,-7.85725146798698,"A"
200,83.03,-8.2321079849345,"A"
200,83.55,-8.61012968263066,"A"
200,84.06,-8.96447256457096,"A"
200,84.5,-9.25418216201243,"A"
200,85.07,-9.60434664083367,"A"
