TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/02/10
TIME	13:54:46
SPECTROMETER/DATA SYSTEM
LOCALE	1045
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   19,9900
LASTX	   96,9600
NPOINTS	     155
XYDATA
19,9900	-13,2508	303,65
20,4400	-13,5346	303,539
20,9900	-13,7009	303,543
21,4500	-13,2461	303,626
21,9500	-13,3995	303,527
22,4900	-13,428	303,539
22,9600	-13,3121	303,52
23,4700	-13,4614	303,569
23,9800	-13,2965	303,61
24,5000	-13,6083	303,517
25,0100	-13,3068	303,606
25,4800	-13,8405	303,551
25,9700	-13,439	303,613
26,4700	-13,3436	303,596
27,0000	-13,2678	303,625
27,4800	-13,1881	303,604
28,0200	-13,4734	303,682
28,5800	-13,7468	303,685
28,9800	-12,7777	303,687
29,4700	-12,6331	303,645
29,9600	-13,4423	303,722
30,5000	-13,3194	303,694
30,9700	-13,9658	303,715
31,4500	-12,8104	303,676
31,9700	-13,4632	303,676
32,5000	-13,236	303,684
32,9400	-13,1984	303,743
33,4600	-12,7902	303,721
33,9600	-13,2342	303,738
34,5000	-13,8438	303,689
34,9600	-13,3266	303,743
35,4700	-13,5035	303,64
35,9700	-13,0098	303,738
36,4700	-13,372	303,697
36,9900	-13,2219	303,673
37,4800	-13,5914	303,688
38,0100	-12,7903	303,663
38,4700	-13,2706	303,691
39,0100	-13,036	303,722
39,4400	-13,2637	303,628
39,9500	-13,7022	303,635
40,4700	-13,4992	303,73
40,9800	-13,1	303,71
41,4500	-12,7992	303,713
41,9800	-13,1061	303,715
42,4900	-13,0079	303,726
42,9900	-13,258	303,724
43,4600	-13,1595	303,68
43,9800	-13,0612	303,704
44,5000	-12,9811	303,726
44,9700	-12,7832	303,766
45,4800	-13,1096	303,777
45,9800	-13,0373	303,763
46,4700	-12,7885	303,805
46,9800	-13,0281	303,812
47,4600	-12,8548	303,763
48,0000	-13,0133	303,865
48,5200	-13,3141	303,788
48,9900	-12,9186	303,829
