"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,19.98,-13.0311642846603,"A"
222,20.45,-13.0160273745962,"A"
222,21,-12.9983139688944,"A"
222,21.47,-12.9831770582485,"A"
222,21.96,-12.9673960233652,"A"
222,22.47,-12.9509708641111,"A"
222,22.99,-12.9342236422753,"A"
222,23.47,-12.9187646675825,"A"
222,23.98,-12.9023395060912,"A"
222,24.46,-12.8868805295718,"A"
222,24.99,-12.8698112416357,"A"
222,25.46,-12.8546743244774,"A"
222,25.99,-12.8376050329464,"A"
222,26.45,-12.822790174115,"A"
222,26.98,-12.8057208774158,"A"
222,27.45,-12.7905839508909,"A"
222,27.97,-12.7738367090187,"A"
222,28.47,-12.7577335870534,"A"
222,28.98,-12.741308396822,"A"
222,29.49,-12.7248831995014,"A"
222,30.01,-12.7081359306797,"A"
222,30.52,-12.6917107143012,"A"
222,31.04,-12.6749634220382,"A"
222,31.44,-12.6620808790667,"A"
222,31.97,-12.6450114929436,"A"
222,32.45,-12.6295524068217,"A"
222,33.05,-12.6102285176485,"A"
222,33.44,-12.5976679673198,"A"
222,33.97,-12.5805984676665,"A"
222,34.45,-12.5651392584633,"A"
222,34.96,-12.5487137992154,"A"
222,35.51,-12.531000000169,"A"
222,35.97,-12.5161847575861,"A"
222,36.39,-12.5026577357105,"A"
222,36.98,-12.4836553734247,"A"
222,37.57,-12.4646528460415,"A"
222,38.07,-12.4485488524165,"A"
222,38.51,-12.4343771961547,"A"
222,39.15,-12.4137635935183,"A"
222,39.5,-12.4024903617227,"A"
222,40.04,-12.3850970984701,"A"
222,40.52,-12.3696360900524,"A"
222,41.02,-12.3535304807344,"A"
222,41.47,-12.3390350302559,"A"
222,41.97,-12.3229284482006,"A"
222,42.49,-12.3061769100337,"A"
222,42.94,-12.291679714735,"A"
222,43.49,-12.2739599174598,"A"
222,43.95,-12.259138726872,"A"
222,44.47,-12.2423830428874,"A"
222,44.95,-12.2269148249322,"A"
222,45.45,-12.2108003730751,"A"
222,45.55,-12.207577245227,"A"
222,46.34,-12.1821112914385,"A"
222,47.01,-12.1605082203502,"A"
222,47.54,-12.1434149017419,"A"
222,48.05,-12.1269622805166,"A"
222,48.35,-12.117281976073,"A"
222,49.26,-12.0879058671401,"A"
222,49.52,-12.0795086459668,"A"
222,50.13,-12.0597989479457,"A"
222,50.56,-12.0458969724255,"A"
222,50.95,-12.0332813408504,"A"
222,51.48,-12.0161249470995,"A"
222,51.96,-12.0005731631008,"A"
222,52.49,-11.9833833350138,"A"
222,53,-11.9668211877001,"A"
222,53.46,-11.9518621340431,"A"
222,53.94,-11.936228412954,"A"
222,54.48,-11.9186059192082,"A"
222,54.97,-11.902578123825,"A"
222,55.48,-11.8858523065845,"A"
222,55.96,-11.870062827958,"A"
222,56.48,-11.8528968546672,"A"
222,56.98,-11.8363217315554,"A"
222,57.46,-11.8203350984486,"A"
222,57.98,-11.8029203585706,"A"
222,58.45,-11.7870806008219,"A"
222,58.96,-11.7697684973194,"A"
222,59.47,-11.7523062013836,"A"
222,60.02,-11.7332774185578,"A"
222,60.5,-11.7164759230116,"A"
222,61,-11.698750058843,"A"
222,61.48,-11.6814845734833,"A"
222,61.98,-11.6632001883593,"A"
222,62.47,-11.6449391757586,"A"
222,63,-11.6247451763096,"A"
222,63.52,-11.6044136616008,"A"
222,64.04,-11.5834848184155,"A"
222,64.48,-11.5652384198259,"A"
222,65.01,-11.5425061751077,"A"
222,65.48,-11.5215579150139,"A"
222,66.17,-11.4892278064434,"A"
222,66.45,-11.4754971398226,"A"
222,66.94,-11.4504975200427,"A"
222,67.49,-11.4207746897548,"A"
222,67.98,-11.3925935992417,"A"
222,68.49,-11.3613071820216,"A"
222,69.01,-11.3270590481711,"A"
222,69.5,-11.2923104571034,"A"
222,69.98,-11.2556250350545,"A"
222,70.52,-11.2108007738707,"A"
222,71,-11.1673851295532,"A"
222,71.46,-11.1222280642446,"A"
222,71.96,-11.0687362325826,"A"
222,72.48,-11.0076602732718,"A"
222,72.98,-10.9430911814171,"A"
222,73.49,-10.8706753297586,"A"
222,73.96,-10.7974858605836,"A"
222,74.48,-10.7086103085321,"A"
222,75.02,-10.6067510688113,"A"
222,75.49,-10.5095319713625,"A"
222,75.99,-10.3967624311748,"A"
222,76.52,-10.2661213043791,"A"
222,76.99,-10.1402986809674,"A"
222,77.46,-10.0048437677529,"A"
222,77.98,-9.84362936313774,"A"
222,78.4,-9.70476769320854,"A"
222,78.9,-9.52964548719567,"A"
222,79.39,-9.3481911185905,"A"
222,80,-9.10990699930218,"A"
222,80.52,-8.89738459614955,"A"
222,80.99,-8.699276107283,"A"
222,81.47,-8.49254864470061,"A"
222,81.98,-8.2698503869277,"A"
222,82.35,-8.10748242228004,"A"
222,82.95,-7.84507506357992,"A"
222,83.46,-7.62513549511175,"A"
222,84.1,-7.35643122039759,"A"
222,84.45,-7.21411343124804,"A"
222,85,-6.99860268668094,"A"
222,85.47,-6.82339069595229,"A"
222,85.95,-6.65384824226641,"A"
222,86.44,-6.49119216740624,"A"
222,86.98,-6.32458953424026,"A"
222,87.47,-6.18505253300837,"A"
222,88.16,-6.00717549967614,"A"
222,88.44,-5.94105851058058,"A"
222,88.96,-5.82721302590119,"A"
222,89.46,-5.72824141106715,"A"
222,89.95,-5.64064532485486,"A"
222,90.46,-5.55868667559163,"A"
222,90.97,-5.48541466219203,"A"
222,91.51,-5.41649523475632,"A"
222,91.99,-5.36204366811716,"A"
222,92.45,-5.31532339821159,"A"
222,92.97,-5.26833749005772,"A"
222,93.48,-5.22766124586561,"A"
222,94.01,-5.190449374253,"A"
222,94.46,-5.16247150589623,"A"
222,94.96,-5.13485981370615,"A"
222,95.5,-5.10869300650276,"A"
222,95.96,-5.08905633632178,"A"
222,96.55,-5.06701069771421,"A"
222,96.98,-5.05291178870603,"A"
