TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/03/17
TIME	11:09:28
SPECTROMETER/DATA SYSTEM
LOCALE	1045
RESOLUTION
DELTAX	-0,1
XUNITS	NANOMETERS
YUNITS	Mol. Ellip.
Y2UNITS	HT [V]
FIRSTX	  260,0000
LASTX	  180,0000
NPOINTS	     801
FIRSTY	   106,56265
MAXY	 26021,38672
MINY	-13363,96875
XYDATA
260,0000	106,563	272,968
259,9000	105,605	273,009
259,8000	104,164	273,045
259,7000	102,946	273,092
259,6000	102,33	273,142
259,5000	100,815	273,189
259,4000	98,8497	273,221
259,3000	95,2545	273,276
259,2000	91,138	273,319
259,1000	86,8372	273,361
259,0000	82,0409	273,411
258,9000	75,3845	273,455
258,8000	66,7094	273,494
258,7000	58,5815	273,551
258,6000	49,707	273,591
258,5000	42,793	273,653
258,4000	37,6543	273,704
258,3000	34,2397	273,762
258,2000	30,9769	273,816
258,1000	26,7303	273,86
258,0000	21,9299	273,908
257,9000	16,4503	273,955
257,8000	12,9226	274,008
257,7000	8,95222	274,07
257,6000	4,59417	274,113
257,5000	2,61614	274,163
257,4000	0,206279	274,204
257,3000	-1,48919	274,256
257,2000	-2,04467	274,308
257,1000	-2,61277	274,364
257,0000	-2,86398	274,411
256,9000	-2,42564	274,464
256,8000	-1,19206	274,508
256,7000	-0,656148	274,562
256,6000	1,25227	274,607
256,5000	5,51065	274,662
256,4000	11,5676	274,706
256,3000	19,3498	274,765
256,2000	26,2102	274,824
256,1000	29,8329	274,879
256,0000	33,1971	274,953
255,9000	37,2114	275,012
255,8000	42,3119	275,06
255,7000	46,6324	275,116
255,6000	50,9279	275,172
255,5000	56,2132	275,223
255,4000	61,6166	275,262
255,3000	65,0336	275,324
255,2000	67,0354	275,376
255,1000	67,9599	275,428
255,0000	65,8369	275,482
254,9000	63,0667	275,52
254,8000	60,0146	275,572
254,7000	56,4017	275,637
254,6000	53,4618	275,681
254,5000	51,9087	275,721
254,4000	49,8895	275,779
254,3000	48,1157	275,832
254,2000	47,6513	275,913
254,1000	46,8301	275,967
254,0000	44,6093	276,009
253,9000	42,2481	276,059
253,8000	40,2852	276,113
253,7000	38,9034	276,156
253,6000	40,496	276,214
253,5000	42,4049	276,276
253,4000	44,625	276,323
253,3000	45,6266	276,391
253,2000	44,7099	276,442
253,1000	45,2826	276,493
253,0000	44,9055	276,544
252,9000	45,7149	276,6
252,8000	47,1815	276,649
252,7000	46,7005	276,7
252,6000	44,9153	276,757
252,5000	44,583	276,803
252,4000	44,6164	276,859
252,3000	42,3915	276,895
252,2000	39,1009	276,937
252,1000	35,4752	276,984
252,0000	32,4108	277,041
251,9000	29,7733	277,075
251,8000	27,0653	277,127
251,7000	23,3069	277,172
251,6000	21,0863	277,208
251,5000	19,1318	277,251
251,4000	15,898	277,303
251,3000	12,1414	277,348
251,2000	6,80533	277,386
251,1000	0,569913	277,442
