"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,20,7.43358560625832,"A"
200,20.48,7.4319020883804,"A"
200,21.03,7.42973937797436,"A"
200,21.53,7.42753177029238,"A"
200,22.05,7.42496314367321,"A"
200,22.54,7.4222596220915,"A"
200,23.03,7.4192508971641,"A"
200,23.55,7.41568720103236,"A"
200,24.05,7.4118606064734,"A"
200,24.52,7.40786720892624,"A"
200,25.08,7.40255173121384,"A"
200,25.54,7.39768324631191,"A"
200,26.03,7.39194499589665,"A"
200,26.54,7.38530440425453,"A"
200,26.98,7.37897181851511,"A"
200,27.53,7.37018672916979,"A"
200,28.04,7.36108653737943,"A"
200,28.54,7.3511766749118,"A"
200,29.04,7.34018638929447,"A"
200,29.54,7.32800456153501,"A"
200,30.04,7.31450965161955,"A"
200,30.53,7.29988279349677,"A"
200,31.03,7.28338467349729,"A"
200,31.55,7.26437301617142,"A"
200,32.04,7.24455778881061,"A"
200,32.54,7.22225182660025,"A"
200,33.03,7.19815427644612,"A"
200,33.59,7.16763644177957,"A"
200,34.04,7.14059737413244,"A"
200,34.53,7.10837193655444,"A"
200,35.03,7.07223987902035,"A"
200,35.56,7.03003571789542,"A"
200,36.03,6.98895732588859,"A"
200,36.53,6.9411697907586,"A"
200,37.01,6.89101412365688,"A"
200,37.58,6.82555737063275,"A"
200,38.04,6.76769955355442,"A"
200,38.55,6.69789342010574,"A"
200,39,6.63102121776151,"A"
200,39.57,6.53871219992174,"A"
200,40.03,6.45761953516556,"A"
200,40.54,6.36038570890871,"A"
200,41.04,6.25715489642622,"A"
200,41.54,6.14567602336829,"A"
200,42.03,6.02803481671919,"A"
200,42.55,5.89370310116629,"A"
200,43.01,5.76641919138857,"A"
200,43.56,5.6034697272132,"A"
200,44.04,5.45143132386984,"A"
200,44.54,5.28312581294043,"A"
200,45.05,5.10089346093616,"A"
200,45.55,4.91184641494566,"A"
200,46.01,4.72888992851444,"A"
200,46.55,4.50324293821509,"A"
200,47.05,4.28412281042516,"A"
200,47.52,4.06957040832886,"A"
200,48.03,3.82784871951327,"A"
200,48.54,3.57749524762152,"A"
200,49.06,3.31415557015189,"A"
200,49.55,3.05939502949416,"A"
200,50.07,2.78303543067249,"A"
200,50.53,2.53432756421929,"A"
200,51.06,2.24401278747603,"A"
200,51.52,1.98980042370275,"A"
200,52.02,1.7122603756144,"A"
200,52.52,1.43462475720624,"A"
200,53.04,1.14707593399208,"A"
200,53.55,0.867497683909212,"A"
200,54.04,0.602280642994522,"A"
200,54.52,0.346681623597938,"A"
200,55.02,0.08580364424505,"A"
200,55.56,-0.188775083936141,"A"
200,56.03,-0.420946651718521,"A"
200,56.53,-0.660313594563063,"A"
200,57.02,-0.886733276627048,"A"
200,57.55,-1.12204656156516,"A"
200,58.02,-1.32206414938263,"A"
200,58.54,-1.53363456893406,"A"
200,59.04,-1.72729945304637,"A"
200,59.54,-1.91134912156316,"A"
200,60.06,-2.09261394978618,"A"
200,60.54,-2.25087364789237,"A"
200,61.03,-2.40364010417352,"A"
200,61.52,-2.54776100442597,"A"
200,62.04,-2.6915669896528,"A"
200,62.52,-2.81628725770959,"A"
200,63.04,-2.9431096587897,"A"
200,63.53,-3.05512834167093,"A"
200,64.04,-3.1644544155414,"A"
200,64.51,-3.2590576766249,"A"
200,65.12,-3.37371283862335,"A"
200,65.52,-3.44430633017131,"A"
200,66.05,-3.53276030047332,"A"
200,66.53,-3.60835411098361,"A"
200,67.05,-3.68598832263525,"A"
200,67.52,-3.75287143604958,"A"
200,68.04,-3.82386113595378,"A"
200,68.54,-3.88979010634329,"A"
200,69.04,-3.95412952374536,"A"
200,69.54,-4.01761973960185,"A"
200,70.01,-4.0772447457716,"A"
200,70.59,-4.15186176060386,"A"
200,71.03,-4.21010035842207,"A"
200,71.56,-4.28326949939047,"A"
200,72.01,-4.34898619398309,"A"
200,72.55,-4.4336467445939,"A"
200,73.02,-4.51385486468331,"A"
200,73.47,-4.59765865234112,"A"
200,74.03,-4.71354319146302,"A"
200,74.55,-4.83493275447457,"A"
200,75.02,-4.95812988114878,"A"
200,75.55,-5.11486586996467,"A"
200,76.02,-5.27185170747558,"A"
200,76.56,-5.47581107603602,"A"
200,77.03,-5.67608499765597,"A"
200,77.52,-5.90950051497293,"A"
200,78.06,-6.1979342420118,"A"
200,78.55,-6.48939699263635,"A"
200,79.1,-6.85108290488231,"A"
200,79.52,-7.15174031764795,"A"
200,80.04,-7.55217941821839,"A"
200,80.51,-7.9389429423623,"A"
200,81.12,-8.4711608445502,"A"
200,81.51,-8.82581519979959,"A"
200,82.03,-9.31079952658759,"A"
200,82.49,-9.74619537383309,"A"
200,83.06,-10.2859546797266,"A"
200,83.54,-10.7339623138441,"A"
200,84.03,-11.1790301845457,"A"
200,84.52,-11.6065013450291,"A"
200,85.04,-12.0360493787918,"A"
200,85.52,-12.4071683157328,"A"
200,86.04,-12.7792030905815,"A"
200,86.48,-13.0685689441693,"A"
200,87.01,-13.3858358069226,"A"
200,87.52,-13.659381008468,"A"
200,88.03,-13.903032282735,"A"
200,88.56,-14.1264458963369,"A"
200,89.04,-14.3045113146625,"A"
200,89.53,-14.4645212990571,"A"
200,90.05,-14.6125649496683,"A"
200,90.55,-14.7360015293526,"A"
200,91.02,-14.8370023972194,"A"
200,91.56,-14.9371962332093,"A"
200,92.03,-15.0122811045248,"A"
200,92.52,-15.0800785825022,"A"
200,93,-15.1374219202288,"A"
200,93.55,-15.1935829705825,"A"
200,94.06,-15.2378211199485,"A"
200,94.51,-15.2714640242743,"A"
