"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,20.01,5.41460382355568,"A"
200,20.46,5.40805508271089,"A"
200,21.05,5.39937344713053,"A"
200,21.54,5.39206882092249,"A"
200,22.07,5.38405655942532,"A"
200,22.55,5.37668612457029,"A"
200,23.05,5.36887688436623,"A"
200,23.53,5.36123625084323,"A"
200,24.04,5.35294224791682,"A"
200,24.52,5.34494799351939,"A"
200,25.04,5.33605281241926,"A"
200,25.53,5.32741666601147,"A"
200,26.05,5.31794408339875,"A"
200,26.54,5.30868827558994,"A"
200,27.09,5.29786374585774,"A"
200,27.51,5.28924682561503,"A"
200,28.07,5.27721969202168,"A"
200,28.53,5.26682121805796,"A"
200,29.05,5.25442540327054,"A"
200,29.53,5.24230152819811,"A"
200,30.05,5.22833035559034,"A"
200,30.53,5.21456175292342,"A"
200,31.05,5.1985766945721,"A"
200,31.54,5.182366450445,"A"
200,32.08,5.1630423944074,"A"
200,32.53,5.14562454895877,"A"
200,33.07,5.1229447617082,"A"
200,33.53,5.10191262450389,"A"
200,34.08,5.0744369977487,"A"
200,34.53,5.0498507039185,"A"
200,35.05,5.01879631802131,"A"
200,35.53,4.98733311478847,"A"
200,36.14,4.9429975015298,"A"
200,36.56,4.90932369396861,"A"
200,36.97,4.87371889359756,"A"
200,37.5,4.82331027383447,"A"
200,38.13,4.7562686415081,"A"
200,38.48,4.71534895684655,"A"
200,39.12,4.63304175222397,"A"
200,39.6,4.56440324192488,"A"
200,40.06,4.49257113352752,"A"
200,40.5,4.41791423120038,"A"
200,41.05,4.31583249172503,"A"
200,41.54,4.2161443617979,"A"
200,42.02,4.11001773388588,"A"
200,42.6,3.96999809160158,"A"
200,43.03,3.85751575239236,"A"
200,43.59,3.69958066839272,"A"
200,44.02,3.56934518259113,"A"
200,44.56,3.39466530801588,"A"
200,45.01,3.23967880391509,"A"
200,45.54,3.04638310289594,"A"
200,45.81,2.94357413063707,"A"
200,46.57,2.63939159666655,"A"
200,47,2.45837738534402,"A"
200,47.61,2.19200609261483,"A"
200,47.86,2.08001404853665,"A"
200,48.13,1.95748879717411,"A"
200,49.06,1.52600586511735,"A"
200,49.28,1.42251350928002,"A"
200,50.07,1.04966241007326,"A"
200,50.51,0.842852390509902,"A"
200,51.02,0.605678989797022,"A"
200,51.53,0.372748206125302,"A"
200,52,0.163115185529142,"A"
200,52.57,-0.0831262212780498,"A"
200,53.02,-0.270356576510092,"A"
200,53.55,-0.481801428548558,"A"
200,54.01,-0.656753913038552,"A"
200,54.55,-0.851410434701843,"A"
200,55.03,-1.01439722307133,"A"
200,55.59,-1.19240931249451,"A"
200,56.05,-1.32885035686109,"A"
200,56.55,-1.46727270452602,"A"
200,57.04,-1.59316484274165,"A"
200,57.54,-1.71199034971648,"A"
200,58.06,-1.82567431910846,"A"
200,58.55,-1.9240225568904,"A"
200,59.02,-2.01079461859973,"A"
200,59.54,-2.09869583525342,"A"
200,60.03,-2.17425385290816,"A"
200,60.57,-2.24995945472183,"A"
200,61.03,-2.30867481835909,"A"
200,61.54,-2.3680734644168,"A"
200,62.03,-2.41997294310173,"A"
200,62.55,-2.47001964369393,"A"
200,62.99,-2.5086978661323,"A"
200,63.46,-2.54665952952765,"A"
200,64.1,-2.59340505982081,"A"
200,64.49,-2.61942230279062,"A"
200,65.04,-2.65336830933309,"A"
200,65.7,-2.69052271863536,"A"
200,66.03,-2.70789232243824,"A"
200,66.5,-2.73152302324062,"A"
200,67,-2.75556377346586,"A"
200,67.65,-2.78578443602601,"A"
200,68.16,-2.80924886928516,"A"
200,68.53,-2.82644828132546,"A"
200,69.07,-2.85229748782464,"A"
200,69.53,-2.87549785068393,"A"
200,70.04,-2.90312743513181,"A"
200,70.52,-2.93163162910684,"A"
200,71.29,-2.98432700052534,"A"
200,71.5,-3.00057564483893,"A"
200,72.07,-3.04975482157727,"A"
200,72.51,-3.09370957080166,"A"
200,73.09,-3.16142070079566,"A"
200,73.52,-3.22015452783846,"A"
200,74.03,-3.30099681117424,"A"
200,74.54,-3.39598821291052,"A"
200,75.04,-3.5050725340101,"A"
200,75.54,-3.63226570066794,"A"
200,76.03,-3.77674943884766,"A"
200,76.53,-3.9466827433708,"A"
200,77.07,-4.15814556952147,"A"
200,77.52,-4.35805406103429,"A"
200,78.03,-4.61176904790255,"A"
200,78.56,-4.90634438210508,"A"
200,79,-5.1742586666782,"A"
200,79.32,-5.38168509236693,"A"
200,80,-5.85370311724648,"A"
200,80.43,-6.17028534812173,"A"
200,81.13,-6.70536495394857,"A"
200,81.57,-7.04758530258767,"A"
200,82.06,-7.42741689341727,"A"
200,82.46,-7.73231073275921,"A"
