TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/02/19
TIME	10:41:26
SPECTROMETER/DATA SYSTEM
LOCALE	1045
RESOLUTION
DELTAX	-0,1
XUNITS	NANOMETERS
YUNITS	Mol. Ellip.
Y2UNITS	HT [V]
FIRSTX	  260,0000
LASTX	  180,0000
NPOINTS	     801
FIRSTY	   101,60419
MAXY	 29060,36719
MINY	-15718,09473
XYDATA
260,0000	101,604	273,527
259,9000	101,576	273,565
259,8000	101,928	273,612
259,7000	101,87	273,655
259,6000	101,047	273,702
259,5000	101,465	273,753
259,4000	102,987	273,804
259,3000	105,959	273,865
259,2000	107,684	273,913
259,1000	108,896	273,964
259,0000	111,233	274,016
258,9000	113,669	274,069
258,8000	115,462	274,125
258,7000	116,058	274,179
258,6000	113,821	274,23
258,5000	112,412	274,3
258,4000	109,86	274,352
258,3000	104,08	274,414
258,2000	99,912	274,452
258,1000	94,0268	274,494
258,0000	89,6187	274,538
257,9000	84,4618	274,585
257,8000	78,4049	274,636
257,7000	73,1183	274,694
257,6000	69,855	274,745
257,5000	64,3154	274,796
257,4000	59,0436	274,844
257,3000	52,2743	274,894
257,2000	45,4873	274,943
257,1000	40,0804	274,99
257,0000	34,6549	275,036
256,9000	27,1043	275,085
256,8000	18,9965	275,135
256,7000	10,9605	275,19
256,6000	2,33093	275,245
256,5000	-6,68335	275,302
256,4000	-14,3892	275,352
256,3000	-20,1949	275,414
256,2000	-25,4178	275,479
256,1000	-30,6778	275,533
256,0000	-34,4901	275,589
255,9000	-36,8769	275,645
255,8000	-37,8666	275,699
255,7000	-39,2313	275,755
255,6000	-38,4374	275,806
255,5000	-41,0356	275,855
255,4000	-41,4262	275,91
255,3000	-40,0711	275,966
255,2000	-36,5368	276,019
255,1000	-32,9755	276,065
255,0000	-28,4325	276,117
254,9000	-23,9684	276,168
254,8000	-19,9517	276,224
254,7000	-15,8992	276,292
254,6000	-12,2618	276,328
254,5000	-8,4707	276,38
254,4000	-5,10671	276,443
254,3000	-3,64522	276,499
254,2000	-2,84528	276,578
254,1000	-1,08874	276,632
254,0000	0,472618	276,69
253,9000	0,730034	276,742
253,8000	-1,76527	276,796
253,7000	-3,81927	276,852
253,6000	-5,16106	276,908
253,5000	-9,20164	276,957
253,4000	-14,2729	277,015
253,3000	-20,1525	277,061
253,2000	-26,4748	277,114
253,1000	-30,5767	277,165
253,0000	-31,3128	277,207
252,9000	-33,7283	277,257
252,8000	-36,4722	277,304
252,7000	-40,3001	277,371
252,6000	-44,3332	277,412
252,5000	-48,0529	277,458
252,4000	-49,9079	277,505
252,3000	-47,7986	277,536
252,2000	-44,9334	277,58
252,1000	-42,2014	277,609
252,0000	-40,9982	277,665
251,9000	-37,1561	277,707
251,8000	-33,575	277,745
251,7000	-27,9841	277,787
251,6000	-23,0311	277,826
251,5000	-18,4365	277,867
251,4000	-14,8044	277,926
251,3000	-9,95538	277,97
251,2000	-6,58905	278,011
251,1000	-3,62125	278,05
251,0000	2,16869	278,096
250,9000	7,94353	278,141
250,8000	15,3974	278,182
250,7000	22,0796	278,225
250,6000	25,8663	278,255
250,5000	28,7674	278,309
250,4000	31,441	278,355
250,3000	32,4629	278,398
250,2000	31,2681	278,443
250,1000	30,991	278,48
250,0000	30,8427	278,514
249,9000	29,9881	278,551
249,8000	25,5939	278,585
249,7000	20,2949	278,611
249,6000	14,2344	278,65
249,5000	9,04666	278,68
249,4000	3,07452	278,717
249,3000	-2,54728	278,748
249,2000	-8,46693	278,781
249,1000	-13,7553	278,808
249,0000	-21,8169	278,848
248,9000	-29,4667	278,881
248,8000	-38,5212	278,919
248,7000	-46,1475	278,948
248,6000	-53,5133	278,98
248,5000	-61,7228	279,011
248,4000	-69,885	279,062
248,3000	-78,3819	279,097
248,2000	-84,2137	279,131
248,1000	-90,4376	279,169
248,0000	-96,0232	279,197
247,9000	-99,8312	279,235
247,8000	-103,382	279,269
247,7000	-106,065	279,309
247,6000	-110,547	279,352
247,5000	-116,732	279,38
247,4000	-125,887	279,424
247,3000	-131,269	279,446
247,2000	-136,271	279,481
247,1000	-139,665	279,52
247,0000	-142,758	279,559
246,9000	-146,99	279,594
246,8000	-151,593	279,633
246,7000	-156,176	279,678
246,6000	-165,256	279,718
246,5000	-171,436	279,758
246,4000	-176,239	279,797
246,3000	-180,686	279,824
246,2000	-186,022	279,86
246,1000	-190,08	279,893
246,0000	-195,772	279,916
245,9000	-201,623	279,947
245,8000	-209,445	279,978
245,7000	-216,413	279,999
245,6000	-225,134	280,032
245,5000	-234,887	280,061
245,4000	-246,126	280,088
245,3000	-258,054	280,128
245,2000	-270,841	280,159
245,1000	-283,774	280,193
245,0000	-297,139	280,228
244,9000	-308,903	280,265
244,8000	-323,763	280,291
244,7000	-339,655	280,309
244,6000	-356,32	280,345
244,5000	-375,448	280,381
244,4000	-396,39	280,423
244,3000	-417,606	280,454
244,2000	-439,974	280,488
244,1000	-458,466	280,523
244,0000	-480,231	280,567
243,9000	-503,791	280,609
243,8000	-526,519	280,65
243,7000	-548,926	280,694
243,6000	-571,07	280,733
243,5000	-591,994	280,771
243,4000	-614,723	280,813
243,3000	-638,276	280,843
243,2000	-666,117	280,875
243,1000	-694,591	280,914
243,0000	-724,154	280,962
242,9000	-754,871	281,01
242,8000	-782,674	281,052
242,7000	-808,988	281,09
242,6000	-834,213	281,137
242,5000	-856,586	281,188
242,4000	-882,469	281,24
242,3000	-908,919	281,283
242,2000	-938,013	281,323
242,1000	-967,439	281,388
242,0000	-998,795	281,432
241,9000	-1029,93	281,473
241,8000	-1058,65	281,53
241,7000	-1086,32	281,569
241,6000	-1113,17	281,616
241,5000	-1138,06	281,669
241,4000	-1164,3	281,72
241,3000	-1192,34	281,761
241,2000	-1220,78	281,825
241,1000	-1253,5	281,891
241,0000	-1288,27	281,945
240,9000	-1322,23	282,001
240,8000	-1351,62	282,058
240,7000	-1378,43	282,117
240,6000	-1403,89	282,183
240,5000	-1429,45	282,243
240,4000	-1455,25	282,301
240,3000	-1483	282,369
240,2000	-1513,61	282,437
240,1000	-1547,25	282,522
240,0000	-1584,01	282,595
239,9000	-1617,85	282,669
239,8000	-1651,81	282,745
239,7000	-1684,6	282,826
239,6000	-1720	282,903
239,5000	-1753,06	282,981
239,4000	-1785,76	283,059
239,3000	-1823,04	283,131
239,2000	-1864,31	283,206
239,1000	-1911,24	283,309
239,0000	-1958,8	283,384
238,9000	-2007,3	283,461
238,8000	-2056,53	283,559
238,7000	-2105,73	283,645
238,6000	-2154,62	283,729
238,5000	-2203,37	283,813
238,4000	-2253,57	283,896
238,3000	-2309,45	283,978
238,2000	-2368,36	284,069
238,1000	-2427,28	284,16
238,0000	-2485,47	284,245
237,9000	-2546,59	284,337
237,8000	-2610,92	284,425
237,7000	-2673,72	284,522
237,6000	-2735,56	284,616
237,5000	-2797,62	284,686
237,4000	-2861,34	284,781
237,3000	-2930,32	284,878
237,2000	-2998,77	284,974
237,1000	-3066,86	285,077
237,0000	-3135,31	285,174
236,9000	-3205,47	285,272
236,8000	-3276,09	285,377
236,7000	-3344,69	285,475
236,6000	-3410,55	285,579
236,5000	-3477,07	285,672
236,4000	-3544,94	285,796
236,3000	-3610,53	285,903
236,2000	-3677,67	286,005
236,1000	-3744,07	286,127
236,0000	-3814,83	286,238
235,9000	-3887,27	286,324
235,8000	-3958,43	286,429
235,7000	-4029,28	286,542
235,6000	-4097,65	286,663
235,5000	-4168,34	286,747
235,4000	-4239,21	286,859
235,3000	-4308,5	286,977
235,2000	-4380,53	287,089
235,1000	-4452,05	287,204
235,0000	-4525,11	287,322
234,9000	-4598,11	287,376
234,8000	-4669,2	287,524
234,7000	-4741,06	287,641
234,6000	-4817,59	287,759
234,5000	-4896,88	287,88
234,4000	-4975,66	288,008
234,3000	-5053,46	288,127
234,2000	-5136,7	288,245
234,1000	-5220,73	288,375
234,0000	-5306,44	288,492
233,9000	-5394,46	288,582
233,8000	-5486,4	288,7
233,7000	-5579,46	288,827
233,6000	-5674,74	288,954
233,5000	-5766,35	289,079
233,4000	-5860,22	289,202
233,3000	-5956,48	289,323
233,2000	-6056,31	289,46
233,1000	-6161,05	289,595
233,0000	-6265,8	289,765
232,9000	-6368,25	289,902
232,8000	-6472,7	290,032
232,7000	-6575,72	290,204
232,6000	-6681,53	290,343
232,5000	-6785,99	290,51
232,4000	-6891,88	290,66
232,3000	-6998,91	290,762
232,2000	-7107,73	290,905
232,1000	-7212,97	291,01
232,0000	-7316,81	291,145
231,9000	-7422,84	291,28
231,8000	-7529,64	291,419
231,7000	-7634,35	291,53
231,6000	-7738,94	291,67
231,5000	-7842,65	291,764
231,4000	-7944,55	291,903
231,3000	-8045,98	291,995
231,2000	-8148,93	292,114
231,1000	-8253,07	292,232
231,0000	-8360,22	292,357
230,9000	-8465,83	292,471
230,8000	-8571,37	292,596
230,7000	-8676,75	292,72
230,6000	-8782,58	292,834
230,5000	-8889	292,943
230,4000	-8997,08	293,061
230,3000	-9104,34	293,178
230,2000	-9212,4	293,302
230,1000	-9319,23	293,432
230,0000	-9427,98	293,555
229,9000	-9536,73	293,683
229,8000	-9641,82	293,827
229,7000	-9746,82	293,967
229,6000	-9851,21	294,119
229,5000	-9956,7	294,274
229,4000	-10057	294,462
229,3000	-10155,6	294,618
229,2000	-10252,6	294,783
229,1000	-10349,7	294,938
229,0000	-10445,1	295,098
228,9000	-10542,6	295,274
228,8000	-10641,6	295,449
228,7000	-10741,5	295,577
228,6000	-10838,9	295,746
228,5000	-10936,6	295,915
228,4000	-11030,8	296,08
228,3000	-11123,7	296,255
228,2000	-11213,8	296,381
228,1000	-11302,4	296,54
228,0000	-11393	296,702
227,9000	-11482,3	296,86
227,8000	-11572,2	297,024
227,7000	-11662,9	297,192
227,6000	-11752,6	297,391
227,5000	-11840,4	297,545
227,4000	-11927,8	297,712
227,3000	-12014,8	297,874
227,2000	-12098	298,027
227,1000	-12180,4	298,189
227,0000	-12262	298,352
226,9000	-12345,6	298,515
226,8000	-12427	298,674
226,7000	-12507,6	298,837
226,6000	-12587,8	298,989
226,5000	-12669	299,113
226,4000	-12746,2	299,272
226,3000	-12818,8	299,431
226,2000	-12888,6	299,593
226,1000	-12957,3	299,752
226,0000	-13023	299,911
225,9000	-13090,2	300,074
225,8000	-13157,9	300,245
225,7000	-13223,9	300,409
225,6000	-13292,8	300,573
225,5000	-13354,8	300,699
225,4000	-13417,6	300,863
225,3000	-13475,3	301,026
225,2000	-13534	301,187
225,1000	-13596	301,35
225,0000	-13657,1	301,516
224,9000	-13716,3	301,687
224,8000	-13777,2	301,849
224,7000	-13837,4	302,02
224,6000	-13899,2	302,193
224,5000	-13959,2	302,365
224,4000	-14017,7	302,536
224,3000	-14077,6	302,7
224,2000	-14135,1	302,867
224,1000	-14191,2	303,026
224,0000	-14244,9	303,193
223,9000	-14296,7	303,362
223,8000	-14347	303,526
223,7000	-14395,8	303,69
223,6000	-14443,1	303,902
223,5000	-14487,5	304,078
223,4000	-14529,4	304,259
223,3000	-14570,5	304,435
223,2000	-14611,5	304,659
223,1000	-14648,8	304,834
223,0000	-14687,8	305,013
222,9000	-14723,4	305,186
222,8000	-14761,6	305,373
222,7000	-14793,1	305,562
222,6000	-14822,2	305,747
222,5000	-14848,5	305,937
222,4000	-14874,5	306,124
222,3000	-14897,1	306,307
222,2000	-14923,1	306,491
222,1000	-14945,2	306,68
222,0000	-14965,2	306,817
221,9000	-14985,3	307
221,8000	-15003,5	307,184
221,7000	-15020	307,362
221,6000	-15034,2	307,539
221,5000	-15050,3	307,721
221,4000	-15063,6	307,898
221,3000	-15075,4	308,077
221,2000	-15085,3	308,255
221,1000	-15096,7	308,425
221,0000	-15110,8	308,597
220,9000	-15123,6	308,778
220,8000	-15135,4	308,958
220,7000	-15144,3	309,131
220,6000	-15150,9	309,31
220,5000	-15157,1	309,494
220,4000	-15162,3	309,674
220,3000	-15165,9	309,855
220,2000	-15169,3	309,989
220,1000	-15169,1	310,16
220,0000	-15169,5	310,333
219,9000	-15168	310,515
219,8000	-15164,9	310,696
219,7000	-15157,2	310,914
219,6000	-15148,7	311,102
219,5000	-15139	311,284
219,4000	-15125,4	311,47
219,3000	-15112,1	311,65
219,2000	-15099,7	311,831
219,1000	-15087	312,018
219,0000	-15073,1	312,204
218,9000	-15058,1	312,39
218,8000	-15047,9	312,572
218,7000	-15036,5	312,753
218,6000	-15024,2	312,931
218,5000	-15008,9	313,12
218,4000	-14994,5	313,316
218,3000	-14976,3	313,508
218,2000	-14959,1	313,697
218,1000	-14943,2	313,9
218,0000	-14927,8	314,093
217,9000	-14911,6	314,282
217,8000	-14896,2	314,525
217,7000	-14882,1	314,718
217,6000	-14868,1	314,966
217,5000	-14856,8	315,16
217,4000	-14848,2	315,35
217,3000	-14842,6	315,497
217,2000	-14840,2	315,754
217,1000	-14834,3	315,948
217,0000	-14831,9	316,158
216,9000	-14829,8	316,363
216,8000	-14829	316,568
216,7000	-14827,8	316,772
216,6000	-14829,2	316,935
216,5000	-14830,8	317,133
216,4000	-14835,1	317,333
216,3000	-14837,5	317,542
216,2000	-14838,8	317,747
216,1000	-14841,2	317,956
216,0000	-14844,1	318,168
215,9000	-14845,7	318,372
215,8000	-14846,2	318,526
215,7000	-14845,2	318,74
215,6000	-14843,7	318,951
215,5000	-14838,2	319,159
215,4000	-14836,8	319,372
215,3000	-14835,4	319,59
215,2000	-14835,5	319,804
215,1000	-14834,6	319,963
215,0000	-14833,4	320,176
214,9000	-14828,3	320,434
214,8000	-14822,4	320,657
214,7000	-14813,1	320,875
214,6000	-14806,5	321,095
214,5000	-14799	321,308
214,4000	-14794,5	321,472
214,3000	-14785,9	321,697
214,2000	-14778,9	321,922
214,1000	-14769,7	322,148
214,0000	-14758,8	322,377
213,9000	-14749,1	322,605
213,8000	-14739,3	322,83
213,7000	-14731,2	323,064
213,6000	-14719,8	323,297
213,5000	-14709	323,533
213,4000	-14701,6	323,768
213,3000	-14697,2	324,019
213,2000	-14694,7	324,274
213,1000	-14692,9	324,517
213,0000	-14698	324,768
212,9000	-14703,1	325,023
212,8000	-14708	325,287
212,7000	-14713,3	325,481
212,6000	-14722,4	325,74
212,5000	-14735,2	326,001
212,4000	-14751,7	326,268
212,3000	-14766,1	326,533
212,2000	-14783,9	326,81
212,1000	-14804	327,087
212,0000	-14824	327,424
211,9000	-14846,1	327,706
211,8000	-14872,7	327,994
211,7000	-14898,7	328,278
211,6000	-14924,4	328,632
211,5000	-14955,7	328,923
211,4000	-14985,6	329,216
211,3000	-15017,7	329,512
211,2000	-15051	329,803
211,1000	-15089,6	330,179
211,0000	-15128	330,484
210,9000	-15165,3	330,792
210,8000	-15203	331,109
210,7000	-15243,4	331,422
210,6000	-15281,8	331,74
210,5000	-15316,6	332,065
210,4000	-15352,3	332,308
210,3000	-15388,3	332,637
210,2000	-15425,5	332,96
210,1000	-15461,4	333,289
210,0000	-15494,2	333,628
209,9000	-15523,5	333,964
209,8000	-15552,7	334,311
209,7000	-15578,6	334,658
209,6000	-15603,7	335,008
209,5000	-15626,4	335,372
209,4000	-15646,3	335,74
209,3000	-15663,6	336,11
209,2000	-15677,5	336,477
209,1000	-15691	336,845
209,0000	-15700,5	337,227
208,9000	-15711,5	337,705
208,8000	-15717,7	338,102
208,7000	-15718,1	338,492
208,6000	-15710,6	338,895
208,5000	-15697,1	339,309
208,4000	-15681	339,717
208,3000	-15662	340,134
208,2000	-15635,9	340,561
208,1000	-15605,4	340,984
208,0000	-15566,4	341,529
207,9000	-15519,2	341,966
207,8000	-15459,4	342,4
207,7000	-15392,7	342,845
207,6000	-15319,4	343,419
207,5000	-15236,7	343,878
207,4000	-15151,5	344,341
207,3000	-15057,9	344,81
207,2000	-14957	345,279
207,1000	-14854,1	345,76
207,0000	-14743,3	346,37
206,9000	-14626,3	346,857
206,8000	-14507,4	347,36
206,7000	-14382	347,858
206,6000	-14250,3	348,487
206,5000	-14112,2	349,005
206,4000	-13963,4	349,529
206,3000	-13811,2	350,057
206,2000	-13658,1	350,602
206,1000	-13500,9	351,276
206,0000	-13340,1	351,686
205,9000	-13171,4	352,249
205,8000	-12996,3	352,806
205,7000	-12816,5	353,376
205,6000	-12637	353,953
205,5000	-12455	354,54
205,4000	-12271,6	355,12
205,3000	-12088,3	355,868
205,2000	-11899,3	356,471
205,1000	-11707,1	357,084
205,0000	-11514,1	357,865
204,9000	-11310,4	358,491
204,8000	-11106,5	359,123
204,7000	-10898,9	359,93
204,6000	-10678,5	360,579
204,5000	-10456,3	361,242
204,4000	-10226,7	361,741
204,3000	-9989,46	362,401
204,2000	-9750,91	363,082
204,1000	-9504,28	363,767
204,0000	-9247,38	364,629
203,9000	-8987,79	365,152
203,8000	-8720,11	365,86
203,7000	-8444,76	366,572
203,6000	-8163,65	367,464
203,5000	-7879,06	368,19
203,4000	-7587,57	369,102
203,3000	-7292,47	369,844
203,2000	-6994,89	370,783
203,1000	-6682,39	371,54
203,0000	-6364,42	372,304
202,9000	-6036	373,072
202,8000	-5699,47	374,052
202,7000	-5360,17	374,84
202,6000	-5010,26	375,639
202,5000	-4656,65	376,438
202,4000	-4303,83	377,251
202,3000	-3943,47	378,074
202,2000	-3568,24	379,099
202,1000	-3191,32	379,948
202,0000	-2806,8	380,796
201,9000	-2420,18	381,651
201,8000	-2023,7	382,522
201,7000	-1619,38	383,396
201,6000	-1209,42	384,494
201,5000	-800,468	385,391
201,4000	-388,751	386,296
201,3000	24,7219	387,211
201,2000	446,099	388,131
201,1000	875,522	389,063
201,0000	1308,45	390,239
200,9000	1747,34	391,2
200,8000	2191,29	392,157
200,7000	2637,26	393,121
200,6000	3077,97	394,11
200,5000	3516,11	395,083
200,4000	3957,47	396,069
200,3000	4406,51	397,311
200,2000	4854,13	398,318
200,1000	5302,07	399,32
200,0000	5757,61	400,588
199,9000	6225,7	401,604
199,8000	6696,17	402,622
199,7000	7156,25	403,916
199,6000	7617,16	404,957
199,5000	8077,51	406,005
199,4000	8542,19	407,051
199,3000	9007,13	408,096
199,2000	9469,63	409,151
199,1000	9927,4	410,741
199,0000	10391,8	411,819
198,9000	10852,1	413,183
198,8000	11315,4	414,283
198,7000	11774,8	415,657
198,6000	12238,4	417,056
198,5000	12695,3	418,177
198,4000	13146,9	419,304
198,3000	13594,8	420,432
198,2000	14048,5	421,848
198,1000	14499,7	422,986
198,0000	14952,9	424,142
197,9000	15396,4	425,289
197,8000	15832,1	426,742
197,7000	16272,4	427,914
197,6000	16703,1	429,379
197,5000	17143,9	430,549
197,4000	17570,3	432,023
197,3000	17988,6	433,196
197,2000	18401,1	434,676
197,1000	18815,2	435,855
197,0000	19216,2	437,337
196,9000	19604,4	438,527
196,8000	19987,7	440,023
196,7000	20360,5	441,513
196,6000	20726,7	443
196,5000	21092,3	444,492
196,4000	21462,3	445,7
196,3000	21810,4	447,208
196,2000	22162,5	448,717
196,1000	22493,4	450,226
196,0000	22820,8	451,722
195,9000	23143,6	453,227
195,8000	23463,2	454,422
195,7000	23779,5	455,913
195,6000	24091,1	457,101
195,5000	24402,6	458,278
195,4000	24710,1	459,743
195,3000	24995	460,921
195,2000	25272,9	462,075
195,1000	25546,1	463,231
195,0000	25797,7	464,664
194,9000	26040,4	465,796
194,8000	26263,7	467,212
194,7000	26471,2	468,63
194,6000	26656,4	470,043
194,5000	26836,2	471,456
194,4000	27007,9	472,879
194,3000	27161,2	474,02
194,2000	27316,5	475,467
194,1000	27457,9	476,621
194,0000	27566,7	477,805
193,9000	27673,2	478,995
193,8000	27777,9	480,483
193,7000	27857,4	481,693
193,6000	27931,7	483,203
193,5000	28008	484,417
193,4000	28071,1	485,944
193,3000	28139,8	487,471
193,2000	28216,4	488,988
193,1000	28290	490,512
193,0000	28340,2	492,015
192,9000	28379,9	493,534
192,8000	28409,4	495,035
192,7000	28435,4	496,239
192,6000	28465,4	498,03
192,5000	28496,7	499,22
192,4000	28532,7	500,722
192,3000	28580,4	502,23
192,2000	28621,7	503,763
192,1000	28677,6	505,32
192,0000	28732,3	506,887
191,9000	28765,8	508,499
191,8000	28809,7	510,144
191,7000	28839,5	511,826
191,6000	28883	513,534
191,5000	28947,1	515,626
191,4000	28980,1	517,406
191,3000	29015,3	519,206
191,2000	29047,5	521,384
191,1000	29060,4	523,199
191,0000	29046,4	525,005
190,9000	29047,1	527,164
190,8000	29016	528,943
190,7000	28928,4	530,718
190,6000	28856,7	532,468
190,5000	28795,4	533,865
190,4000	28745,9	535,596
190,3000	28707,8	537,691
190,2000	28652,5	539,077
190,1000	28592,7	541,199
190,0000	28513,1	542,633
189,9000	28399,6	544,847
189,8000	28286,4	546,752
