"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,19.99,8.42860749184383,"A"
200,20.46,8.42859660293911,"A"
200,21.06,8.42857967502635,"A"
200,21.52,8.42856393567205,"A"
200,22.04,8.42854266019834,"A"
200,22.52,8.42851911806109,"A"
200,23.08,8.42848595343031,"A"
200,23.55,8.42845245767812,"A"
200,24.04,8.42841096060876,"A"
200,24.52,8.42836260379216,"A"
200,25.02,8.42830260078205,"A"
200,25.54,8.42822777941051,"A"
200,26.05,8.42813970718477,"A"
200,26.57,8.42803198926647,"A"
200,27.06,8.42791076036387,"A"
200,27.55,8.42776679643619,"A"
200,28.04,8.42759593108985,"A"
200,28.55,8.42738422382444,"A"
200,29.03,8.42714763212341,"A"
200,29.52,8.42686195148558,"A"
200,30.04,8.42650103244235,"A"
200,30.52,8.42610546757534,"A"
200,31.03,8.42560742507275,"A"
200,31.59,8.42495078784929,"A"
200,32.06,8.42429443545911,"A"
200,32.56,8.42347127796606,"A"
200,33.02,8.42258077232752,"A"
200,33.55,8.42136823925479,"A"
200,34.04,8.42003819984173,"A"
200,34.53,8.41847133759149,"A"
200,35.05,8.41650352833516,"A"
200,35.53,8.41435943795464,"A"
200,36.02,8.41178961808869,"A"
200,36.53,8.40863538764032,"A"
200,37.03,8.40498538895251,"A"
200,37.53,8.40068685360322,"A"
200,38.01,8.3958463799167,"A"
200,38.56,8.38928928045113,"A"
200,39.02,8.38283585217084,"A"
200,39.54,8.37429333711136,"A"
200,40.04,8.36462346143978,"A"
200,40.54,8.35328399128074,"A"
200,41.03,8.34028441791076,"A"
200,41.55,8.32410698834999,"A"
200,42.03,8.30664436325239,"A"
200,42.57,8.28361356877607,"A"
200,43.02,8.26125557501796,"A"
200,43.53,8.23188931139638,"A"
200,44.01,8.19975972004777,"A"
200,44.54,8.15843940901466,"A"
200,45.08,8.10905008372424,"A"
200,45.54,8.06030592104239,"A"
200,46.05,7.99805520630081,"A"
200,46.5,7.93502006441811,"A"
200,47.04,7.84799356276118,"A"
200,47.54,7.75491732532192,"A"
200,48.06,7.64373486246975,"A"
200,48.52,7.53175417625933,"A"
200,49.11,7.36726661661447,"A"
200,49.53,7.23449565445723,"A"
200,50.08,7.03906898721701,"A"
200,50.53,6.85964062350959,"A"
200,51.05,6.62894020018583,"A"
200,51.53,6.39264595299194,"A"
200,52.04,6.11615359606321,"A"
200,52.53,5.82541293510187,"A"
200,53.06,5.48338657203411,"A"
200,53.52,5.1639943829796,"A"
200,54.03,4.7868283360406,"A"
200,54.58,4.35550224998438,"A"
200,55.05,3.96955899075808,"A"
200,55.52,3.57077331912586,"A"
200,56.03,3.12753525906136,"A"
200,56.54,2.67806537505834,"A"
