"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,19.99,-13.7183221744836,"A"
222,20.44,-13.7023219413823,"A"
222,20.99,-13.6827661008799,"A"
222,21.45,-13.6664103069581,"A"
222,21.95,-13.6486322700263,"A"
222,22.49,-13.6294319900528,"A"
222,22.96,-13.6127206351699,"A"
222,23.47,-13.5945870371996,"A"
222,23.98,-13.5764534390771,"A"
222,24.5,-13.557964280013,"A"
222,25.01,-13.5398306814643,"A"
222,25.48,-13.5231193256846,"A"
222,25.97,-13.5056968480645,"A"
222,26.47,-13.4879188092676,"A"
222,27,-13.4690740875873,"A"
222,27.48,-13.452007169233,"A"
222,28.02,-13.4328068852344,"A"
222,28.58,-13.4128954784279,"A"
222,28.98,-13.3986730440963,"A"
222,29.47,-13.3812505608007,"A"
222,29.96,-13.3638280758622,"A"
222,30.5,-13.3446277840058,"A"
222,30.97,-13.3279164164414,"A"
222,31.45,-13.3108494850213,"A"
222,31.97,-13.2923603053765,"A"
222,32.5,-13.2735155594245,"A"
222,32.94,-13.2578708598616,"A"
222,33.46,-13.2393816626314,"A"
222,33.96,-13.2216035799172,"A"
222,34.5,-13.202403239181,"A"
222,34.96,-13.1860473820262,"A"
222,35.47,-13.1679136994893,"A"
222,35.97,-13.1501355610691,"A"
222,36.47,-13.1323574006762,"A"
222,36.99,-13.1138680855563,"A"
222,37.48,-13.0964454296755,"A"
222,38.01,-13.0776004736417,"A"
222,38.47,-13.0612444308668,"A"
222,39.01,-13.042043796784,"A"
222,39.44,-13.0267543455481,"A"
222,39.95,-13.0086202658021,"A"
222,40.47,-12.9901305093032,"A"
222,40.98,-12.9719961984501,"A"
222,41.45,-12.9552840528217,"A"
222,41.98,-12.9364382563957,"A"
222,42.49,-12.9183033985671,"A"
222,42.99,-12.9005238690915,"A"
222,43.46,-12.8838108332508,"A"
222,43.98,-12.8653194381501,"A"
222,44.5,-12.8468275674019,"A"
222,44.97,-12.8301132698505,"A"
222,45.48,-12.8119758463558,"A"
222,45.98,-12.7941932947076,"A"
222,46.47,-12.7767655156356,"A"
222,46.98,-12.7586252935145,"A"
222,47.46,-12.7415509148937,"A"
222,48,-12.7223405309153,"A"
222,48.52,-12.7038395909029,"A"
222,48.99,-12.6871155133271,"A"
222,49.46,-12.6703890978287,"A"
222,49.96,-12.652591999509,"A"
222,50.52,-12.6326547987978,"A"
222,50.97,-12.6166297716599,"A"
222,51.47,-12.5988191279381,"A"
222,51.96,-12.5813585931228,"A"
