"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,20.02,-13.8782844458764,"A"
222,20.4,-13.8628326575064,"A"
222,20.93,-13.8412814789876,"A"
222,21.48,-13.8189170484449,"A"
222,21.98,-13.7985857479467,"A"
222,22.49,-13.7778478214322,"A"
222,22.96,-13.7587363989511,"A"
222,23.46,-13.7384050984299,"A"
222,23.99,-13.716853919864,"A"
222,24.47,-13.6973358713364,"A"
222,25,-13.6757846927324,"A"
222,25.37,-13.6607395302942,"A"
222,25.97,-13.6363419695471,"A"
222,26.54,-13.613164286784,"A"
222,26.96,-13.5960859941791,"A"
222,27.51,-13.5737215633175,"A"
222,27.96,-13.5554233925395,"A"
222,28.51,-13.5330589614752,"A"
222,28.96,-13.5147607904883,"A"
222,29.51,-13.4923963591022,"A"
222,29.99,-13.4728783096896,"A"
222,30.49,-13.4525470079642,"A"
222,30.99,-13.4322157059145,"A"
222,31.51,-13.4110711513495,"A"
222,31.97,-13.3923663526203,"A"
222,32.48,-13.3716284229626,"A"
222,32.97,-13.3517037446691,"A"
222,33.52,-13.329339308703,"A"
222,33.96,-13.3114477588418,"A"
222,34.51,-13.2890833198058,"A"
222,34.96,-13.2707851406644,"A"
222,35.48,-13.2496405756499,"A"
222,35.97,-13.2297158864051,"A"
222,36.53,-13.2069448085238,"A"
222,36.98,-13.1886466166526,"A"
222,37.48,-13.1683152867722,"A"
222,37.95,-13.1492038301054,"A"
222,38.53,-13.1256194683237,"A"
222,38.93,-13.1093543825127,"A"
222,39.49,-13.0865832474626,"A"
222,39.94,-13.0682849985087,"A"
222,40.49,-13.0459204486865,"A"
222,40.97,-13.0264022702382,"A"
222,41.49,-13.0052575430315,"A"
222,41.96,-12.9861459253613,"A"
222,42.45,-12.9662210009259,"A"
222,42.99,-12.9442628531409,"A"
222,43.48,-12.9243377911142,"A"
222,43.93,-12.906039186459,"A"
222,44.47,-12.8840807392937,"A"
222,44.95,-12.8645619831037,"A"
222,45.47,-12.8434164846572,"A"
222,45.96,-12.823490709437,"A"
222,46.45,-12.8035646847583,"A"
222,47,-12.7811983723396,"A"
222,47.49,-12.7612716193347,"A"
222,47.97,-12.7417510836432,"A"
222,48.44,-12.722636700241,"A"
222,48.98,-12.7006747087318,"A"
222,49.47,-12.6807453461851,"A"
222,49.98,-12.6600014366954,"A"
222,50.44,-12.6412900707934,"A"
222,50.98,-12.6193228184396,"A"
222,51.53,-12.5969463968213,"A"
222,51.95,-12.5798569842197,"A"
222,52.51,-12.55706786504,"A"
222,52.98,-12.5379378289656,"A"
222,53.47,-12.5179896556109,"A"
222,53.94,-12.4988509619095,"A"
222,54.49,-12.4764474558037,"A"
222,54.94,-12.4581103638223,"A"
222,55.48,-12.436095778237,"A"
222,55.96,-12.4165161050522,"A"
222,56.48,-12.3952903591269,"A"
222,56.98,-12.3748638344636,"A"
222,57.48,-12.3544168966349,"A"
222,58.01,-12.3327160646048,"A"
222,58.48,-12.3134437419676,"A"
222,58.95,-12.2941395265013,"A"
222,59.5,-12.2715006099628,"A"
222,59.95,-12.252930717246,"A"
222,60.47,-12.2314082788899,"A"
222,60.99,-12.2098033196915,"A"
222,61.5,-12.1885166720837,"A"
222,62,-12.1675345335836,"A"
222,62.49,-12.1468415904302,"A"
222,62.97,-12.126420975898,"A"
222,63.47,-12.1049605308401,"A"
222,63.97,-12.0832690830463,"A"
222,64.46,-12.0617428844083,"A"
222,65.02,-12.0367486845396,"A"
222,65.47,-12.0163003752502,"A"
222,65.94,-11.994530264896,"A"
222,66.51,-11.9674514650992,"A"
222,66.94,-11.9464392688072,"A"
222,67.49,-11.9186838567002,"A"
222,68,-11.8918963388524,"A"
222,68.46,-11.8667004507079,"A"
222,68.97,-11.8374049953282,"A"
222,69.52,-11.8039024393309,"A"
222,69.96,-11.7754099273444,"A"
222,70.47,-11.7401605500531,"A"
222,70.95,-11.7044291954906,"A"
222,71.48,-11.6615783904407,"A"
222,71.99,-11.6163833137319,"A"
222,72.49,-11.5676433288018,"A"
222,73.04,-11.5080871364034,"A"
222,73.48,-11.4552490354105,"A"
222,74.03,-11.3816831763787,"A"
222,74.48,-11.31440694729,"A"
222,74.99,-11.2293760939894,"A"
222,75.46,-11.1417357579013,"A"
222,75.92,-11.0463644056372,"A"
222,76.49,-10.9136244445525,"A"
222,76.96,-10.7909454891217,"A"
222,77.47,-10.6432734426353,"A"
222,77.97,-10.4830257814029,"A"
222,78.47,-10.3070040410596,"A"
222,79.01,-10.0991614283959,"A"
222,79.48,-9.90374887154235,"A"
222,79.97,-9.68667422772223,"A"
222,80.45,-9.4623640191095,"A"
222,80.99,-9.19881729528653,"A"
222,81.44,-8.97266637350893,"A"
222,81.99,-8.69196442396556,"A"
222,82.52,-8.4211997900898,"A"
222,82.96,-8.19936375136421,"A"
222,83.47,-7.94890661517942,"A"
222,83.99,-7.704180330841,"A"
222,84.45,-7.4989931292868,"A"
222,84.98,-7.27785383313593,"A"
222,85.48,-7.0856104188194,"A"
222,85.95,-6.92007833966274,"A"
222,86.49,-6.74823129953736,"A"
222,86.99,-6.60627255591595,"A"
222,87.45,-6.4896423502582,"A"
222,87.98,-6.3708708881698,"A"
222,88.44,-6.28034145608257,"A"
222,88.96,-6.19080366642935,"A"
222,89.45,-6.11765175974213,"A"
222,89.98,-6.04942258710973,"A"
222,90.45,-5.9972956010251,"A"
222,90.97,-5.94766092880057,"A"
222,91.45,-5.90839812489009,"A"
222,91.98,-5.87136895220546,"A"
222,92.43,-5.84444681178153,"A"
