TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/02/18
TIME	14:04:06
SPECTROMETER/DATA SYSTEM
LOCALE	1045
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   20,0200
LASTX	   96,9600
NPOINTS	     155
XYDATA
20,0200	-13,5916	304,677
20,4000	-13,9154	304,51
20,9300	-13,671	304,556
21,4800	-13,62	304,477
21,9800	-13,7604	304,527
22,4900	-13,5487	304,52
22,9600	-14,1561	304,502
23,4600	-13,378	304,444
23,9900	-13,5737	304,48
24,4700	-13,8512	304,538
25,0000	-13,9004	304,497
25,3700	-13,5657	304,454
25,9700	-14,0457	304,456
26,5400	-13,8131	304,535
26,9600	-13,611	304,519
27,5100	-13,5337	304,451
27,9600	-13,3196	304,463
28,5100	-13,6082	304,441
28,9600	-13,4637	304,434
29,5100	-13,3946	304,412
29,9900	-13,3661	304,405
30,4900	-13,3741	304,429
30,9900	-12,9666	304,438
31,5100	-13,5249	304,429
31,9700	-13,9658	304,482
32,4800	-13,4238	304,436
32,9700	-13,5883	304,539
33,5200	-13,0978	304,497
33,9600	-13,4468	304,471
34,5100	-13,0224	304,464
34,9600	-13,5787	304,498
35,4800	-12,9863	304,49
35,9700	-12,8486	304,535
36,5300	-13,4813	304,556
36,9800	-13,5078	304,599
37,4800	-13,0365	304,518
37,9500	-13,3184	304,517
38,5300	-13,3528	304,573
38,9300	-12,8038	304,468
39,4900	-13,1727	304,475
39,9400	-12,3142	304,442
40,4900	-12,6937	304,594
40,9700	-13,1775	304,582
41,4900	-13,2629	304,499
41,9600	-12,7953	304,597
42,4500	-13,1825	304,516
42,9900	-12,9704	304,578
43,4800	-12,9047	304,553
43,9300	-12,9374	304,529
44,4700	-12,8995	304,615
44,9500	-12,7279	304,66
45,4700	-13,4831	304,582
45,9600	-13,3496	304,665
46,4500	-13,4991	304,529
47,0000	-12,6624	304,549
47,4900	-12,2642	304,552
47,9700	-12,841	304,62
48,4400	-12,3124	304,588
48,9800	-12,6786	304,59
49,4700	-13,0017	304,608
49,9800	-12,9689	304,59
50,4400	-13,056	304,641
50,9800	-12,7185	304,64
51,5300	-12,9653	304,572
51,9500	-12,762	304,626
52,5100	-12,6377	304,589
52,9800	-12,4558	304,521
53,4700	-12,1701	304,636
53,9400	-12,537	304,561
54,4900	-12,4032	304,592
54,9400	-12,3621	304,606
55,4800	-12,4008	304,637
55,9600	-12,1365	304,642
56,4800	-12,8279	304,614
56,9800	-12,3689	304,571
57,4800	-12,4266	304,653
58,0100	-12,4486	304,643
58,4800	-12,1786	304,653
58,9500	-11,9346	304,583
59,5000	-11,657	304,605
59,9500	-12,3089	304,549
60,4700	-12,5764	304,572
60,9900	-11,9477	304,547
61,5000	-12,0234	304,461
62,0000	-12,0093	304,581
62,4900	-12,0584	304,537
62,9700	-11,966	304,585
63,4700	-11,968	304,56
