TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/02/13
TIME	14:48:32
SPECTROMETER/DATA SYSTEM
LOCALE	1045
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   19,9800
LASTX	   96,9800
NPOINTS	     155
XYDATA
19,9800	-13,216	302,795
20,4500	-12,8765	302,606
21,0000	-12,5871	302,677
21,4700	-12,787	302,633
21,9600	-12,6345	302,657
22,4700	-12,4171	302,639
22,9900	-12,867	302,701
23,4700	-12,6995	302,653
23,9800	-12,4625	302,681
24,4600	-12,4904	302,702
24,9900	-12,2934	302,671
25,4600	-13,0381	302,773
25,9900	-12,4909	302,802
26,4500	-12,5896	302,819
26,9800	-12,8069	302,81
27,4500	-12,8976	302,829
27,9700	-12,9266	302,837
28,4700	-12,7057	302,825
28,9800	-13,0489	302,873
29,4900	-12,7343	302,876
30,0100	-13,173	302,847
30,5200	-12,8898	302,903
31,0400	-12,8812	302,884
31,4400	-12,859	302,948
31,9700	-12,2788	302,885
32,4500	-12,5613	302,918
33,0500	-13,0809	302,923
33,4400	-12,7488	302,905
33,9700	-13,3106	302,96
34,4500	-13,002	302,988
34,9600	-12,727	302,93
35,5100	-12,8273	302,965
35,9700	-12,5738	302,933
36,3900	-12,5393	302,92
36,9800	-12,7568	302,973
37,5700	-12,5835	303,012
38,0700	-12,863	302,976
38,5100	-13,2332	303,049
39,1500	-12,4353	303,035
39,5000	-12,1551	303,024
40,0400	-11,9621	303,048
40,5200	-12,8934	302,999
41,0200	-11,7927	303,058
41,4700	-12,791	303,037
41,9700	-12,4894	303,054
42,4900	-12,368	303,059
42,9400	-12,3506	303,141
43,4900	-12,1365	303,07
43,9500	-11,8901	303,026
44,4700	-13,0845	303,055
44,9500	-12,7842	303,108
45,4500	-12,1026	303,001
45,5500	-12,0849	303,045
46,3400	-12,1103	303,119
47,0100	-12,7753	303,081
47,5400	-12,6121	303,145
48,0500	-11,9318	303,089
48,3500	-11,4598	303,182
49,2600	-12,0822	303,111
49,5200	-12,0182	303,072
50,1300	-11,6802	303,104
50,5600	-12,0448	303,185
50,9500	-11,8919	303,208
51,4800	-12,3673	303,201
51,9600	-12,0521	303,189
52,4900	-12,1615	303,219
53,0000	-11,7075	303,18
53,4600	-12,0928	303,164
53,9400	-12,2261	303,177
54,4800	-11,3118	303,189
54,9700	-11,3635	303,178
55,4800	-11,6929	303,265
55,9600	-11,7941	303,219
56,4800	-11,28	303,229
56,9800	-11,6443	303,227
57,4600	-11,8726	303,274
57,9800	-11,2912	303,264
58,4500	-11,7051	303,271
58,9600	-11,8679	303,291
59,4700	-11,6502	303,276
60,0200	-11,76	303,28
60,5000	-11,7744	303,313
61,0000	-12,1862	303,284
61,4800	-11,1746	303,323
61,9800	-11,7432	303,359
62,4700	-11,2498	303,289
63,0000	-11,5385	303,334
63,5200	-11,4555	303,35
64,0400	-11,8948	303,358
64,4800	-11,5928	303,308
65,0100	-11,4141	303,383
65,4800	-11,294	303,372
66,1700	-11,4174	303,389
66,4500	-11,2478	303,351
66,9400	-11,7615	303,453
67,4900	-11,1081	303,453
67,9800	-11,3586	303,499
68,4900	-11,7442	303,452
69,0100	-11,0358	303,415
69,5000	-11,5328	303,436
