experiment_id,measurement_id,replicate,receptor_concentration_nM,measured_anisotropy_value,outlier
39,2535,1,3.0,79.0,False
39,2536,2,3.0,74.0,False
39,2537,3,3.0,76.0,False
39,2538,1,6.0,72.0,False
39,2539,2,6.0,76.0,False
39,2540,3,6.0,77.0,False
39,2541,1,12.0,77.0,False
39,2542,2,12.0,77.0,False
39,2543,3,12.0,77.0,False
39,2544,1,25.0,75.0,False
39,2545,2,25.0,77.0,False
39,2546,3,25.0,76.0,False
39,2547,1,50.0,81.0,False
39,2548,2,50.0,76.0,False
39,2549,3,50.0,81.0,False
39,2550,1,100.0,85.0,False
39,2551,2,100.0,85.0,False
39,2552,3,100.0,85.0,False
39,2553,1,200.0,93.0,False
39,2554,2,200.0,99.0,False
39,2555,3,200.0,99.0,False
39,2556,1,400.0,109.0,False
39,2557,2,400.0,111.0,False
39,2558,3,400.0,109.0,False
39,2559,1,800.0,123.0,False
39,2560,2,800.0,119.0,False
39,2561,3,800.0,132.0,False
39,2562,1,1600.0,137.0,False
39,2563,2,1600.0,138.0,False
39,2564,3,1600.0,138.0,False
39,2565,1,3200.0,148.0,False
39,2566,2,3200.0,145.0,False
39,2567,3,3200.0,142.0,False
39,2568,1,6400.0,146.0,False
39,2569,2,6400.0,145.0,False
39,2570,3,6400.0,149.0,False
39,2571,1,12800.0,146.0,False
39,2572,2,12800.0,148.0,False
39,2573,3,12800.0,150.0,False
40,2580,1,0.0,39.0,False
40,2581,2,0.0,39.0,False
40,2582,3,0.0,41.0,False
40,2583,1,0.1,41.0,False
40,2584,2,0.1,43.0,False
40,2585,3,0.1,43.0,False
40,2586,1,0.25,43.0,False
40,2587,2,0.25,43.0,False
40,2588,3,0.25,42.0,False
40,2589,1,0.5,40.0,False
40,2590,2,0.5,41.0,False
40,2591,3,0.5,42.0,False
40,2592,1,1.0,43.0,False
40,2593,2,1.0,41.0,False
40,2594,3,1.0,43.0,False
40,2595,1,3.0,45.0,False
40,2596,2,3.0,42.0,False
40,2597,3,3.0,41.0,False
40,2598,1,6.0,46.0,False
40,2599,2,6.0,45.0,False
40,2600,3,6.0,42.0,False
40,2601,1,12.0,46.0,False
40,2602,2,12.0,47.0,False
40,2603,3,12.0,46.0,False
40,2604,1,25.0,52.0,False
40,2605,2,25.0,50.0,False
40,2606,3,25.0,49.0,False
40,2607,1,50.0,59.0,False
40,2608,2,50.0,55.0,False
40,2609,3,50.0,58.0,False
40,2610,1,100.0,74.0,False
40,2611,2,100.0,76.0,False
40,2612,3,100.0,74.0,False
40,2613,1,200.0,90.0,False
40,2614,2,200.0,88.0,False
40,2615,3,200.0,90.0,False
40,2616,1,400.0,103.0,False
40,2617,2,400.0,104.0,False
40,2618,3,400.0,104.0,False
